legacy_controller,legacy_action,http_method,legacy_route,auth_scope,response_shape,modern_module,modern_handler,status,notes
WallController,DeleteWall,DELETE,Wall/Delete,permission:BasicPermissions.Wall,Task<IHttpActionResult>,core/social/social-compatibility.module,deleteWall,mapped,src/api/Shrooms.Presentation.Api/Controllers/Wall/WallController.cs:300
WallController,EditWall,PUT,Wall/Edit,permission:BasicPermissions.Wall,Task<IHttpActionResult>,core/social/social-compatibility.module,editWall,mapped,src/api/Shrooms.Presentation.Api/Controllers/Wall/WallController.cs:272
WallController,GetAllPagedWall,GET,Wall/AllPosts,permission:BasicPermissions.Post,Task<IHttpActionResult>,core/social/social-compatibility.module,getAllWallPosts,mapped,src/api/Shrooms.Presentation.Api/Controllers/Wall/WallController.cs:196
WallController,GetAllPagedWallDeprecated,GET,Wall/AllPosts,permission:BasicPermissions.Post,Task<IHttpActionResult>,core/social/social-compatibility.module,getAllWallPosts,mapped,src/api/Shrooms.Presentation.Api/Controllers/Wall/WallController.cs:213
WallController,GetPagedWall,GET,Wall/Posts,permission:BasicPermissions.Post|BasicPermissions.Event,Task<IHttpActionResult>,core/social/social-compatibility.module,getWallPosts,mapped,src/api/Shrooms.Presentation.Api/Controllers/Wall/WallController.cs:160
WallController,GetWall,GET,Wall/Details,permission:BasicPermissions.Post|BasicPermissions.Event,Task<IHttpActionResult>,core/social/social-compatibility.module,getWallDetails,mapped,src/api/Shrooms.Presentation.Api/Controllers/Wall/WallController.cs:64
WallController,GetWallList,GET,Wall/List,permission:BasicPermissions.Post,Task<IHttpActionResult>,core/social/social-compatibility.module,getWallList,mapped,src/api/Shrooms.Presentation.Api/Controllers/Wall/WallController.cs:47
WallController,GetWallMembers,GET,Wall/Members,permission:BasicPermissions.Wall,Task<IHttpActionResult>,core/social/social-compatibility.module,getWallMembers,mapped,src/api/Shrooms.Presentation.Api/Controllers/Wall/WallController.cs:142
WallController,JoinWall,PUT,Wall/Follow,permission:BasicPermissions.Wall,Task<IHttpActionResult>,core/social/social-compatibility.module,followWall,mapped,src/api/Shrooms.Presentation.Api/Controllers/Wall/WallController.cs:102
WallController,SearchWall,GET,Wall/Search,permission:BasicPermissions.Post,Task<IHttpActionResult>,core/social/social-compatibility.module,searchWall,mapped,src/api/Shrooms.Presentation.Api/Controllers/Wall/WallController.cs:221
